Thread ID: 2148303280
Total: 0.021298

 %self     total     self     wait    child    calls  name
  4.11      0.00     0.00     0.00     0.00       95  Rack::Lint::Assertion#assert
  3.28      0.00     0.00     0.00     0.00       35  Array#each(d1)
  3.23      0.02     0.00     0.00     0.02        1  ActiveSupport::Testing::Performance::Profiler#run
  2.62      0.00     0.00     0.00     0.00       25  Hash#each
  2.38      0.00     0.00     0.00     0.00      246  Hash#[]
  2.18      0.01     0.00     0.00     0.01       31  Array#each
  1.99      0.02     0.00     0.00     0.02       91  Proc#call
  1.75      0.00     0.00     0.00     0.00      134  Regexp#match
  1.41      0.00     0.00     0.00     0.00       46  String#split
  1.03      0.00     0.00     0.00     0.00       12  Hash#each_pair
  0.99      0.00     0.00     0.00     0.00      107  Hash#[]=
  0.97      0.00     0.00     0.00     0.00        1  Range#each
  0.85      0.00     0.00     0.00     0.00        1  <Object::ActionController::Routing::RouteSet>#recognize_optimized
  0.85      0.00     0.00     0.00     0.00       15  <Module::ActiveSupport::Multibyte>#clean
  0.84      0.00     0.00     0.00     0.00       21  ActiveSupport::CoreExtensions::String::OutputSafety#concat
  0.82      0.00     0.00     0.00     0.00       22  ActiveSupport::CoreExtensions::String::OutputSafety#+
  0.78      0.00     0.00     0.00     0.00      138  Array#<<
  0.77      0.00     0.00     0.00     0.00       33  Class#new
  0.76      0.00     0.00     0.00     0.00       70  Kernel#respond_to?
  0.72      0.02     0.00     0.00     0.02        1  ActionController::Integration::Session#process
  0.67      0.00     0.00     0.00     0.00       58  ActiveSupport::CoreExtensions::String::OutputSafety#html_safe?
  0.64      0.00     0.00     0.00     0.00       58  String#inspect
  0.63      0.00     0.00     0.00     0.00       14  ActiveSupport::CoreExtensions::String::OutputSafety#<<
  0.62      0.00     0.00     0.00     0.00       29  String#gsub
  0.61      0.00     0.00     0.00     0.00       88  Hash#default
  0.61      0.00     0.00     0.00     0.00       14  Rack::Utils::HeaderHash#[]=
  0.60      0.00     0.00     0.00     0.00        1  <Class::Mime::Type>#parse
  0.56      0.00     0.00     0.00     0.00      100  String#[]
