Thread ID: 2148303280
Total: 0.027374

 %self     total     self     wait    child    calls  name
  8.08      0.00     0.00     0.00     0.00       18  Array#each(d2)
  4.17      0.00     0.00     0.00     0.00      466  Regexp#match
  3.37      0.00     0.00     0.00     0.00       95  Rack::Lint::Assertion#assert
  2.98      0.00     0.00     0.00     0.00       30  Hash#each
  2.91      0.03     0.00     0.00     0.03        1  ActiveSupport::Testing::Performance::Profiler#run
  2.44      0.00     0.00     0.00     0.00      333  Hash#[]
  2.31      0.00     0.00     0.00     0.00       37  String#split
  1.84      0.00     0.00     0.00     0.00      476  Array#<<
  1.77      0.01     0.00     0.00     0.01       34  Array#each
  1.65      0.02     0.00     0.00     0.02       91  Proc#call
  1.10      0.01     0.00     0.00     0.01       17  Array#each(d1)
  0.82      0.00     0.00     0.00     0.00       24  ActiveSupport::CoreExtensions::String::OutputSafety#<<
  0.80      0.00     0.00     0.00     0.00      144  Hash#[]=
  0.76      0.00     0.00     0.00     0.00        1  Range#each
  0.65      0.00     0.00     0.00     0.00       21  ActiveSupport::CoreExtensions::String::OutputSafety#concat
  0.64      0.03     0.00     0.00     0.03        1  ActionController::Integration::Session#process
  0.63      0.00     0.00     0.00     0.00      123  Hash#default
  0.59      0.00     0.00     0.00     0.00       65  ActiveSupport::CoreExtensions::String::OutputSafety#html_safe?
  0.58      0.00     0.00     0.00     0.00        1  <Object::ActionController::Routing::RouteSet>#recognize_optimized
  0.57      0.00     0.00     0.00     0.00       31  Class#new
  0.55      0.00     0.00     0.00     0.00       20  ActiveSupport::CoreExtensions::String::OutputSafety#+
  0.55      0.00     0.00     0.00     0.00       60  Kernel#respond_to?
  0.53      0.00     0.00     0.00     0.00        3  ActionController::Routing::RouteSet#generate
  0.52      0.00     0.00     0.00     0.00       58  String#inspect
  0.50      0.00     0.00     0.00     0.00       12  ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection_pool
  0.47      0.00     0.00     0.00     0.00       14  Rack::Utils::HeaderHash#[]=
  0.47      0.00     0.00     0.00     0.00       82  Hash#delete
  0.45      0.00     0.00     0.00     0.00        1  <Class::Mime::Type>#parse
  0.45      0.01     0.00     0.00     0.01        4  ActionView::Helpers::UrlHelper#link_to
  0.44      0.00     0.00     0.00     0.00      103  String#[]
  0.44      0.00     0.00     0.00     0.00       76  String#==
  0.43      0.00     0.00     0.00     0.00       76  Module#===
  0.43      0.00     0.00     0.00     0.00       62  String#downcase
  0.41      0.00     0.00     0.00     0.00       64  String#gsub!
  0.39      0.00     0.00     0.00     0.00        7  Mime::Type::AcceptItem#initialize
  0.39      0.00     0.00     0.00     0.00       19  String#gsub
  0.37      0.01     0.00     0.00     0.01        2  <Module::Benchmark>#realtime(d1)
  0.37      0.00     0.00     0.00     0.00        4  IO#write
  0.37      0.00     0.00     0.00     0.00       22  String#blank?
  0.37      0.00     0.00     0.00     0.00       69  String#to_s
  0.36      0.00     0.00     0.00     0.00       18  HashWithIndifferentAccess#convert_key
  0.35      0.00     0.00     0.00     0.00       17  ActiveSupport::BufferedLogger#buffer
  0.35      0.01     0.00     0.00     0.01        1  ActionController::Base#render_without_benchmark
  0.35      0.00     0.00     0.00     0.00        2  ActionController::PolymorphicRoutes#polymorphic_url
  0.33      0.00     0.00     0.00     0.00       16  Rack::Utils::HeaderHash#[]
  0.33      0.00     0.00     0.00     0.00       51  Kernel#is_a?
  0.33      0.00     0.00     0.00     0.00        5  ActionView::Helpers::UrlHelper#url_for
  0.32      0.00     0.00     0.00     0.00        4  ActiveSupport::BufferedLogger#add
  0.32      0.00     0.00     0.00     0.00        5  Mutex#synchronize(d1)
  0.32      0.00     0.00     0.00     0.00       65  Kernel#hash
  0.31      0.01     0.00     0.00     0.01        8  Proc#call(d1)
  0.31      0.00     0.00     0.00     0.00       47  <Class::Thread>#current
  0.31      0.00     0.00     0.00     0.00        2  Integer#times
  0.31      0.00     0.00     0.00     0.00        9  Hash#each_pair
  0.31      0.00     0.00     0.00     0.00       14  Rack::Utils::HeaderHash#delete
  0.30      0.00     0.00     0.00     0.00        1  Rack::Lint#check_env
  0.30      0.00     0.00     0.00     0.00        2  <Object::ActionController::Routing::Route>#generate_raw
  0.29      0.00     0.00     0.00     0.00       11  Mime::Type::AcceptItem#<=>
  0.28      0.00     0.00     0.00     0.00       62  Array#[]
  0.28      0.00     0.00     0.00     0.00        3  ActionController::UrlRewriter#rewrite_url
  0.28      0.00     0.00     0.00     0.00       37  Symbol#to_s
  0.28      0.00     0.00     0.00     0.00       39  <Class::Hash>#allocate
  0.27      0.00     0.00     0.00     0.00        8  Mime::Type#==
  0.27      0.00     0.00     0.00     0.00        4  MonitorMixin#mon_exit
  0.26      0.00     0.00     0.00     0.00        6  <Module::ActiveSupport::Multibyte>#clean
  0.26      0.02     0.00     0.00     0.02        1  ActionController::Session::CookieStore#call
  0.26      0.00     0.00     0.00     0.00        1  Hash#inspect
  0.26      0.00     0.00     0.00     0.00       30  ActionController::Base#response
  0.26      0.00     0.00     0.00     0.00        2  Hash#each_key
  0.26      0.00     0.00     0.00     0.00        6  HashWithIndifferentAccess#initialize
  0.26      0.00     0.00     0.00     0.00        2  ActionController::PolymorphicRoutes#build_named_route_call
  0.26      0.00     0.00     0.00     0.00        2  <Module::SQLite3::Driver::Native::API>#sqlite3_step
  0.26      0.02     0.00     0.00     0.02        1  ActionController::Benchmarking#perform_action_without_rescue
  0.26      0.00     0.00     0.00     0.00       46  Fixnum#==
  0.25      0.00     0.00     0.00     0.00        1  ActionView::Base::CompiledTemplates#_run_erb_app47views47layouts47things46html46erb
  0.25      0.00     0.00     0.00     0.00       45  String#concat_without_safety
  0.25      0.00     0.00     0.00     0.00        9  ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection
  0.24      0.00     0.00     0.00     0.00       17  Hash#merge
  0.24      0.00     0.00     0.00     0.00        8  HashWithIndifferentAccess#convert_value
  0.24      0.00     0.00     0.00     0.00        9  ActiveRecord::ConnectionAdapters::ConnectionPool#connection
  0.23      0.00     0.00     0.00     0.00        1  <Module::SQLite3::Driver::Native::API>#sqlite3_prepare
  0.23      0.00     0.00     0.00     0.00       36  Kernel#==
  0.22      0.00     0.00     0.00     0.00        1  ActionView::Helpers::AssetTagHelper#compute_public_path
  0.22      0.00     0.00     0.00     0.00       19  Enumerable#inject
  0.22      0.00     0.00     0.00     0.00        2  SQLite3::ResultSet#next
  0.21      0.00     0.00     0.00     0.00        4  ActionController::Response#content_type
  0.21      0.00     0.00     0.00     0.00        3  ActionController::UrlRewriter#rewrite_path
  0.21      0.00     0.00     0.00     0.00       26  Hash#initialize_copy
  0.20      0.00     0.00     0.00     0.00       10  ActiveRecord::ConnectionAdapters::ConnectionPool#current_connection_id
  0.20      0.00     0.00     0.00     0.00       14  Array#join
  0.19      0.00     0.00     0.00     0.00        2  ActionView::Helpers::UrlHelper#url_for(d1)
  0.19      0.01     0.00     0.00     0.01        2  ActionView::Base#render(d1)
  0.19      0.00     0.00     0.00     0.00       11  Class#new(d1)
  0.19      0.00     0.00     0.00     0.00        4  MonitorMixin#synchronize
  0.19      0.01     0.00     0.00     0.01        1  ActionController::Benchmarking#render
  0.19      0.00     0.00     0.00     0.00        8  Array#flatten
  0.19      0.01     0.00     0.00     0.01        2  ActionView::Renderable#render
  0.19      0.00     0.00     0.00     0.00        6  ActionView::PathSet#find_template
  0.18      0.00     0.00     0.00     0.00        6  Array#map
  0.18      0.00     0.00     0.00     0.00        9  <Class::ActiveRecord::Base>#retrieve_connection
  0.18      0.00     0.00     0.00     0.00        2  #<Module:0x1024db1d0>#thing_path
  0.18      0.00     0.00     0.00     0.00        3  ActionController::Routing::RouteSet#options_as_params
  0.18      0.00     0.00     0.00     0.00        4  MonitorMixin#mon_enter
  0.18      0.00     0.00     0.00     0.00        6  <Module::ActiveSupport::Multibyte>#valid_character
  0.18      0.00     0.00     0.00     0.00       10  Kernel#dup
  0.18      0.00     0.00     0.00     0.00        6  ActionView::Helpers::TagHelper#escape_once
  0.18      0.01     0.00     0.00     0.01        2  ActionView::Base#with_template
  0.18      0.00     0.00     0.00     0.00       32  Array#empty?
  0.17      0.00     0.00     0.00     0.00       42  Symbol#to_sym
  0.17      0.00     0.00     0.00     0.00        3  ActionController::Base#url_for
  0.17      0.00     0.00     0.00     0.00       35  Kernel#class
  0.17      0.00     0.00     0.00     0.00       30  Kernel#kind_of?
  0.16      0.00     0.00     0.00     0.00        1  ActionController::Session::CookieStore#build_cookie
  0.16      0.00     0.00     0.00     0.00       18  Enumerable#any?
  0.16      0.00     0.00     0.00     0.00        4  ActionView::Renderable#method_name
  0.16      0.00     0.00     0.00     0.00        7  Array#include?
  0.16      0.00     0.00     0.00     0.00        1  <Class::ActiveRecord::Base>#construct_finder_sql
  0.16      0.00     0.00     0.00     0.00        1  Rack::Request#POST
  0.16      0.00     0.00     0.00     0.00        3  Array#map!
  0.16      0.00     0.00     0.00     0.00        1  <Object::ActionController::Routing::Route>#generate_raw
  0.15      0.00     0.00     0.00     0.00        4  MonitorMixin#mon_release
  0.15      0.00     0.00     0.00     0.00        2  ActionView::Helpers::TagHelper#tag_options
  0.15      0.00     0.00     0.00     0.00        3  <Class::ActiveRecord::Base>#scoped_methods
  0.15      0.02     0.00     0.00     0.02       11  Kernel#send
  0.15      0.00     0.00     0.00     0.00       13  Object#to_param
  0.15      0.03     0.00     0.00     0.03        1  Rack::Lint#_call
  0.15      0.00     0.00     0.00     0.00       10  Array#-
  0.15      0.00     0.00     0.00     0.00        4  ActiveSupport::CoreExtensions::Hash::IndifferentAccess#with_indifferent_access
  0.15      0.00     0.00     0.00     0.00       40  Fixnum#^
  0.15      0.00     0.00     0.00     0.00        4  ActiveSupport::BufferedLogger#auto_flush
  0.15      0.01     0.00     0.00     0.01       13  Kernel#send(d2)
  0.15      0.02     0.00     0.00     0.02        1  <Module::Benchmark>#realtime
  0.15      0.00     0.00     0.00     0.00       10  Kernel#__send__(d2)
  0.15      0.00     0.00     0.00     0.00        3  ActiveSupport::Callbacks#run_callbacks
  0.15      0.00     0.00     0.00     0.00        8  HashWithIndifferentAccess#update
  0.14      0.00     0.00     0.00     0.00       19  Module#name
  0.14      0.00     0.00     0.00     0.00       40  Fixnum#|
  0.14      0.00     0.00     0.00     0.00        3  ActionController::Request#query_string
  0.14      0.00     0.00     0.00     0.00        5  ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection_pool(d1)
  0.14      0.00     0.00     0.00     0.00        1  ActionController::MimeResponds::Responder#initialize
  0.14      0.00     0.00     0.00     0.00        1  ActionController::Response#each
  0.14      0.00     0.00     0.00     0.00       26  Fixnum#+
  0.14      0.01     0.00     0.00     0.01        1  ActionView::Base#_render_with_layout
  0.14      0.00     0.00     0.00     0.00        3  ActionController::Routing::Route#extra_keys
  0.14      0.00     0.00     0.00     0.00       13  <Class::ActiveRecord::Base>#connection_handler
  0.14      0.00     0.00     0.00     0.00        2  <Class::Proc>#new
  0.14      0.00     0.00     0.00     0.00        2  ActionController::Request#normalize_parameters
  0.14      0.00     0.00     0.00     0.00        6  ActionView::Template::EagerPath#[]
  0.14      0.00     0.00     0.00     0.00        2  ActiveSupport::Inflector#singularize
  0.14      0.00     0.00     0.00     0.00        1  ActionController::Base#log_processing_for_request_id
  0.13      0.00     0.00     0.00     0.00        1  <Class::ActiveRecord::Base>#instantiate
  0.13      0.00     0.00     0.00     0.00       23  Kernel#block_given?
  0.13      0.00     0.00     0.00     0.00        2  ActiveSupport::Callbacks::Callback#should_run_callback?
  0.13      0.00     0.00     0.00     0.00       14  Mime::Type#to_s
  0.12      0.00     0.00     0.00     0.00        8  ActiveSupport::CoreExtensions::String::OutputSafety#html_safe!
  0.12      0.02     0.00     0.00     0.02        1  ActionController::Base#process_without_filters
  0.12      0.00     0.00     0.00     0.00        7  ActionView::Base#template_format
  0.12      0.00     0.00     0.00     0.00        4  String#%
  0.12      0.00     0.00     0.00     0.00       18  Module#to_s
  0.12      0.00     0.00     0.00     0.00        4  ActionController::PolymorphicRoutes#extract_record
  0.12      0.00     0.00     0.00     0.00        7  <Class::Time>#now
